lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
21,0.2899999999999999986237860422,0.2988888888888888877430643496,0.00003444993141289437809961984022,0.005869406393571191,0.3249999999999999935121341998,0.3299999999999999964611641093,0.3299999999999999964611641093,0,0.3299999999999999964611641093,1,0
23,0.2892222222222222208174817007,0.2983518518518518506916430913,0.00003716660951074531558021269243,0.006096442365080254,0.3253333333333333267783915587,0.3199999999999999962529972922,0.3199999999999999962529972922,0,0.3199999999999999962529972922,1,0
24,0.2884999999999999985555535855,0.2978333333333333321581646962,0.00003979526748971193666218200451,0.006308349030428796,0.3259999999999999933109062766,0.3099999999999999960448304751,0.3099999999999999960448304751,0,0.3099999999999999960448304751,1,0
25,0.2878333333333333318380016968,0.2973333333333333321421565462,0.00004231800411522634011802001122,0.006505228982535998,0.3269999999999999931096783534,0.2999999999999999958366636580,0.2999999999999999958366636580,0,0.2999999999999999958366636580,1,0
26,0.2872222222222222206648260348,0.2968518518518518506432360457,0.00004471856424325560414250495242,0.006687194048571912,0.3283333333333333261747077891,0.2899999999999999956284968409,0.2899999999999999956284968409,0,0.2899999999999999956284968409,1,0
27,0.2866666666666666650360265992,0.2963888888888888876610901618,0.00004698233882030178635290462132,0.006854366405460229,0.3299999999999999925059945837,0.2799999999999999954203300238,0.2799999999999999954203300238,0,0.2799999999999999954203300238,1,0
28,0.286166666666666664951603390,0.2959444444444444431954603022,0.00004909636488340192378912795713,0.007006879825100607,0.3319999999999999921035387373,0.2699999999999999952121632067,0.2699999999999999952121632067,0,0.2699999999999999952121632067,1,0
29,0.2857222222222222204115564073,0.2955185185185185172461309732,0.00005104932556012803291383956229,0.007144881073896754,0.3343333333333333249673402498,0.2599999999999999950039963896,0.2599999999999999950039963896,0,0.2599999999999999950039963896,1,0
30,0.2853333333333333316009228217,0.2951111111111111098203226472,0.00005283155006858710947359675688,0.007268531493265136,0.3369999999999999922076221459,0.2499999999999999947958295725,0.2499999999999999947958295725,0,0.2499999999999999947958295725,1,0
31,0.2849999999999999983346654628,0.2947222222222222209170281401,0.00005443501371742112879926621531,0.007378008790820266,0.3399999999999999927141614009,0.2399999999999999945876627554,0.2399999999999999945876627554,0,0.2399999999999999945876627554,1,0
32,0.2847222222222222206127843303,0.2943518518518518505353894805,0.00005585333790580704564216167015,0.0074735090757827435,0.3433333333333333264869580148,0.2299999999999999943794959383,0.2299999999999999943794959383,0,0.2299999999999999943794959383,1,0
33,0.2844999999999999984352794245,0.2939999999999999986746712642,0.00005708179012345679417452893029,0.0075552491767946865,0.3469999999999999935260119876,0.2199999999999999941713291212,0.2199999999999999941713291212,0,0.2199999999999999941713291212,1,0
34,0.284333333333333331802150745,0.2936666666666666653342395222,0.00005811728395061728798993181993,0.007623469285739747,0.3509999999999999938313233194,0.2099999999999999939631623041,0.2099999999999999939631623041,0,0.2099999999999999939631623041,1,0
35,0.284222222222222220713398292,0.2933518518518518505135448145,0.00005895837905807042010356190973,0.00767843597733747,0.3553333333333333274028920101,0.1999999999999999937549954870,0.1999999999999999937549954870,0,0.1999999999999999937549954870,1,0
36,0.2841666666666666651690220655,0.2930555555555555542121085968,0.00005960528120713306295248906639,0.0077204456611735224,0.3599999999999999942407180597,0.1899999999999999935468286699,0.1899999999999999935468286699,0,0.1899999999999999935468286699,1,0
37,0.284111111111111109624645839,0.2927760416666666653187503856,0.00006008889809230391445531784809,0.007751702915637564,0.3646666666666666610785441093,0.1799999999999999933386618528,0.1799999999999999933386618528,0,0.1799999999999999933386618528,1,0
38,0.284111111111111109624645839,0.2925134680134680121158987327,0.00006040740425661545286047690939,0.00777222003398099,0.3693333333333333279163701589,0.1699999999999999931304950357,0.1699999999999999931304950357,0,0.1699999999999999931304950357,1,0
39,0.2841666666666666651690220655,0.2922679738562091489704023601,0.00006056104466610713770462084576,0.0077820977034542,0.3739999999999999947541962085,0.1599999999999999929223282186,0.1599999999999999929223282186,0,0.1599999999999999929223282186,1,0
40,0.2842777777777777762577745183,0.292039682539682538321470136,0.00006055207669087207151481342146,0.00778152148945642,0.3786666666666666615920222581,0.1499999999999999927141614015,0.1499999999999999927141614015,0,0.1499999999999999927141614015,1,0
41,0.2844444444444444428909031978,0.2918287037037037023372877211,0.00006038472136079107250095647853,0.0077707606680936375,0.3833333333333333284298483077,0.1399999999999999925059945844,0.1399999999999999925059945844,0,0.1399999999999999925059945844,1,0
42,0.2846666666666666650684081038,0.2916351351351351337624531368,0.00006006512221039237555956888092,0.007750169173017604,0.3879999999999999952676743573,0.1299999999999999922978277673,0.1299999999999999922978277673,0,0.1299999999999999922978277673,1,0
43,0.2849444444444444428828078217,0.2914590643274853787393045758,0.00005960131036855342611795718547,0.007720188493071489,0.3926666666666666621055004069,0.1199999999999999920896609502,0.1199999999999999920896609502,0,0.1199999999999999920896609502,1,0
44,0.285277777777777776241583766,0.2913005698005697991880809654,0.00005900317481422660051112330459,0.0076813524078918945,0.3973333333333333289433264565,0.1099999999999999918814941331,0.1099999999999999918814941331,0,0.1099999999999999918814941331,1,0
45,0.2856666666666666651447359368,0.2911597222222222208369973398,0.00005828243692728142936305235655,0.007634293479247534,0.4019999999999999957811525061,0.09999999999999999167332731598,0.09999999999999999167332731598,0,0.09999999999999999167332731598,1,0
46,0.2861111111111111095922643342,0.2910365853658536571481014127,0.00005745262862744850801892531595,0.0075797512246411165,0.4066666666666666626189785557,0.08999999999999999146516049886,0.08999999999999999146516049886,0,0.08999999999999999146516049886,1,0
47,0.286611111111111109584168958,0.29093121693121692982515064,0.00005652907352434050024890063538,0.0075185818825321375,0.4113333333333333294568046053,0.07999999999999999125699368174,0.07999999999999999125699368174,0,0.07999999999999999125699368174,1,0
48,0.2871666666666666651204498082,0.2908436692506459934366692253,0.00005552887060523003878698775453,0.007451769629103548,0.4159999999999999962946306549,0.06999999999999999104882686462,0.06999999999999999104882686462,0,0.06999999999999999104882686462,1,0
49,0.2877777777777777762936254703,0.29077398989898989759250914,0.00005447088007045886607489076068,0.007380439016105943,0.4206666666666666631324567045,0.05999999999999999084066004750,0.05999999999999999084066004750,0,0.05999999999999999084066004750,1,0
50,0.2884444444444444430111773588,0.2907222222222222208240351004,0.00005337571099344729731244312147,0.007305868257328988,0.4253333333333333299702827541,0.04999999999999999063249323038,0.04999999999999999063249323038,0,0.04999999999999999063249323038,1,0
