lifeSpan,viability,meanViability,currentVariance,standardDeviation,libidoViability,temp,energy,moisture,pain,stress,libido,glucose,damage,mateCount
4,0.8992887142857142858481392080,0.8704781904761904748985415422,0.0001565587461084776250113333799,0.012512343749612924,0.9292887142857142864726396594,0.5000210000000000000002237793,1.035000000000000002463307336,0.4949999999999999998959165913,0,0.1000000000000000072858385991,0.03000000000000000062450045136,0.6850000000000000107899800205,0,0
4,0.8992887142857142858481392080,0.8719945338345864649485203668,0.0001875278798132276498423278313,0.013694081926629022,0.9292887142857142864726396594,0.5000210000000000000002237793,1.035000000000000002463307336,0.4949999999999999998959165913,0,0.1000000000000000072858385991,0.03000000000000000062450045136,0.6850000000000000107899800205,0,0
4,0.8992887142857142858481392080,0.873359242857142855993501309,0.0002117683602508213727183217259,0.014552263062864874,0.9292887142857142864726396594,0.5000210000000000000002237793,1.035000000000000002463307336,0.4949999999999999998959165913,0,0.1000000000000000072858385991,0.03000000000000000062450045136,0.6850000000000000107899800205,0,0
4,0.8992887142857142858481392080,0.8745939795918367336056269233,0.0002307236726960679570586847976,0.015189590932479648,0.9292887142857142864726396594,0.5000210000000000000002237793,1.035000000000000002463307336,0.4949999999999999998959165913,0,0.1000000000000000072858385991,0.03000000000000000062450045136,0.6850000000000000107899800205,0,0
4,0.9035754285714285718994675680,0.8759113181818181808008014982,0.0002550227331939080310464398008,0.015969431210719687,0.9435754285714285727321348365,0.5000280000000000000002983724,1.005000000000000000104083409,0.4899999999999999997918331827,0,0.09000000000000000707767178198,0.04000000000000000083266726848,0.6800000000000000106858966119,0,0
7,0.9035754285714285718994675680,0.8771141055900621108485695883,0.0002743783367039204129494933110,0.01656436949309935,0.9435754285714285727321348365,0.5000280000000000000002983724,1.005000000000000000104083409,0.4899999999999999997918331827,0,0.09000000000000000707767178198,0.04000000000000000083266726848,0.6800000000000000106858966119,0,0
7,0.9035764285714285718994782241,0.8782167023809523800590241146,0.0002897423940269205668047595698,0.01702182111370345,0.9535764285714285729403123097,0.5000350000000000000003729655,1.005000000000000000104083409,0.4849999999999999996877497741,0,0.08000000000000000686950496486,0.05000000000000000104083408560,0.6750000000000000105818132033,0,0
8,0.9035764285714285718994782241,0.8792310914285714277326422788,0.0003018605158898189303568321576,0.017374133529181216,0.9535764285714285729403123097,0.5000350000000000000003729655,1.005000000000000000104083409,0.4849999999999999996877497741,0,0.08000000000000000686950496486,0.05000000000000000104083408560,0.6750000000000000105818132033,0,0
8,0.9035774285714285718994888803,0.8801674890109890102005979173,0.0003113283910564964030049559185,0.017644500306228467,0.9635774285714285731484897830,0.5000420000000000000004475586,1.005000000000000000104083409,0.4799999999999999995836663655,0,0.07000000000000000666133814774,0.06000000000000000124900090272,0.6700000000000000104777297947,0,0
10,0.9035774285714285718994888803,0.8810345238095238087820383233,0.0003186192860212301823269103409,0.017849909972356446,0.9635774285714285731484897830,0.5000420000000000000004475586,1.005000000000000000104083409,0.4799999999999999995836663655,0,0.07000000000000000666133814774,0.06000000000000000124900090272,0.6700000000000000104777297947,0,0
