lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
12,0.3231428571428571416795134346,0.3296190476190476181223315249,0.00001698513479465860543015847449,0.004121302560436277,0.3269999999999999931096783534,0.3699999999999999972938313777,0.3699999999999999972938313777,0,0.3699999999999999972938313777,1,0.5
13,0.3222857142857142845505340796,0.3290952380952380942957745646,0.00001908402620307382349546693994,0.004368526777195468,0.3259999999999999933109062766,0.3599999999999999970856645606,0.3599999999999999970856645606,0,0.3599999999999999970856645606,1,0.5
14,0.3214761904761904750310200614,0.328587301587301586344790931,0.00002118295120517342887022514541,0.004602494020112729,0.3253333333333333267783915587,0.3499999999999999968774977435,0.3499999999999999968774977435,0,0.3499999999999999968774977435,1,0.5
15,0.3207142857142857131209713801,0.3280952380952380942683022091,0.00002326392038296800357790008981,0.0048232686409703535,0.3249999999999999935121341998,0.3399999999999999966693309264,0.3399999999999999966693309264,0,0.3399999999999999966693309264,1,0.5
16,0.3199999999999999988203880361,0.3276190476190476180654837284,0.00002531015369110607370584314872,0.005030919765918164,0.3249999999999999935121341998,0.3299999999999999964611641093,0.3299999999999999964611641093,0,0.3299999999999999964611641093,1,0.5
17,0.3193333333333333321292700291,0.3271587301587301577356940784,0.00002730608045687410940587055049,0.005225522027211646,0.3253333333333333267783915587,0.3199999999999999962529972922,0.3199999999999999962529972922,0,0.3199999999999999962529972922,1,0.5
18,0.318714285714285713047617359,0.3267142857142857132784268826,0.00002923733938019652489466433086,0.005407156311796111,0.3259999999999999933109062766,0.3099999999999999960448304751,0.3099999999999999960448304751,0,0.3099999999999999960448304751,1,0.5
19,0.3181428571428571415754300259,0.3262857142857142846932770398,0.00003109077853363567845405551951,0.005575910556459427,0.3269999999999999931096783534,0.2999999999999999958366636580,0.2999999999999999958366636580,0,0.2999999999999999958366636580,1,0.5
20,0.3176190476190476177127080299,0.3258730158730158719799166108,0.00003285445536239187243122812942,0.005731880613061639,0.3283333333333333261747077891,0.2899999999999999956284968409,0.2899999999999999956284968409,0,0.2899999999999999956284968409,1,0.5
21,0.3171428571428571414594513707,0.3254761904761904751380772817,0.00003451763668430335323886870258,0.005875171204680197,0.3299999999999999925059945837,0.2799999999999999954203300238,0.2799999999999999954203300238,0,0.2799999999999999954203300238,1,0.5
22,0.3166666666666666652061947116,0.3250931677018633529671258656,0.00003610408377177585311835941506,0.006008667387347701,0.3316666666666666588372813783,0.2699999999999999952121632067,0.2699999999999999952121632067,0,0.2699999999999999952121632067,1,0.5
23,0.3162380952380952365624033894,0.3247242063492063481169290958,0.00003760033368920700358492171046,0.006131911095996663,0.3333333333333333251685681729,0.2599999999999999950039963896,0.2599999999999999950039963896,0,0.2599999999999999950039963896,1,0.5
24,0.3158571428571428555280774043,0.3243695238095238084133750281,0.00003899474552077704578044400174,0.0062445772891987685,0.3349999999999999914998549675,0.2499999999999999947958295725,0.2499999999999999947958295725,0,0.2499999999999999947958295725,1,0.5
25,0.315523809523809522103216756,0.324029304029304028170676633,0.00004027738749240089910828011023,0.006346446839957056,0.3366666666666666578311417621,0.2399999999999999945876627554,0.2399999999999999945876627554,0,0.2399999999999999945876627554,1,0.5
26,0.3152380952380952362878214449,0.3237037037037037025453857001,0.00004143994820353352249044662056,0.006437386752676393,0.3383333333333333241624285567,0.2299999999999999943794959383,0.2299999999999999943794959383,0,0.2299999999999999943794959383,1,0.5
27,0.3149999999999999980818914707,0.3233928571428571416716894776,0.00004247566616127904581448231754,0.006517335817746317,0.3399999999999999904937153513,0.2199999999999999941713291212,0.2199999999999999941713291212,0,0.2199999999999999941713291212,1,0.5
28,0.314809523809523807564728478,0.3230968801313628887714494431,0.00004337927335589446440454867393,0.006586294356912274,0.3416666666666666568250021459,0.2099999999999999939631623041,0.2099999999999999939631623041,0,0.2099999999999999939631623041,1,0.5
